일시,태양광 이용률,일강수량(mm),평균 상대습도(%),합계전천일사량(MJ/m2)
2016-05-22,23.97,0,46.88,23.21
2016-05-23,19.02,0,52.48,17.5
2016-05-24,9.33,30.4,84.82,7.16
2016-05-25,17.21,0,72.24,14.46
2016-05-26,9.18,0.18,76.5,10.07
2016-05-27,19.17,0,67.4,17.33
2016-05-28,23.41,0,62.46,21.42
2016-05-29,19.01,0,62.66,17.77
2016-05-30,23.87,0,60.78,22.59
2016-05-31,21.75,0,68.3,20.72
2016-06-01,23.73,0,52.64,21.8
2016-06-02,23.89,0,49.98,23.55
2016-06-03,22.92,0,54.9,22.49
2016-06-04,10.74,0.04,62.96,7.74
2016-06-05,23.3,0,55.78,22.38
2016-06-06,15.39,0,59.28,15.55
2016-06-07,16.38,0.06,68.14,19.93
2016-06-08,19.25,0,69.96,19.28
2016-06-09,22.28,0,64.94,19.91
2016-06-10,21.11,0,65.02,20.55
2016-06-11,11.93,3.24,75.66,12.1
2016-06-12,13.51,0.52,79.5,13.18
2016-06-13,19.69,0,70.78,17.69
2016-06-14,18.79,0.14,68.4,17.2
2016-06-15,8.37,16.78,82.54,6.79
2016-06-16,16.4,0,74.74,17.42
2016-06-17,22.11,0,67.3,20.56
2016-06-18,22.77,0,66.58,22.37
2016-06-19,18.87,0,69.08,18.39
2016-06-20,17.93,0,68.9,18.2
2016-06-21,17.42,0,68.54,16.33
2016-06-22,11.97,1.24,76.32,11.62
2016-06-23,18.08,0.92,73.92,17.68
2016-06-24,10.06,7.24,80.66,8.7
2016-06-25,19.66,0,67.22,23.12
2016-06-26,23.59,0,63.26,23.61
2016-06-27,14.21,0,65.6,13.24
2016-06-28,21.3,0,64.04,20.29
2016-06-29,17.75,0,64.84,16.15
2016-06-30,10.57,0.2,77.94,7.42
2016-07-01,4.52,90.44,87.46,4.58
2016-07-02,13.08,1.52,81.3,10.79
2016-07-03,11.02,0,77.52,9.58
2016-07-04,4.37,52.12,89.38,2.87
2016-07-05,3.56,90.04,92.62,2.99
2016-07-06,13.16,1.28,83.6,11.33
2016-07-07,14.34,0,79.1,11.08
2016-07-08,21.56,0,73.02,22.75
2016-07-09,22.13,0,70.64,21.88
2016-07-10,19.64,0,71.96,19.7
2016-07-11,18.24,0.06,68.84,18.45
2016-07-12,14.06,7.52,76.08,13.99
2016-07-13,15.71,0.42,74.52,13.67
2016-07-14,18.12,0.24,70.32,13.79
2016-07-15,13.51,1.4,67.3,10.6
2016-07-16,3.03,49.66,91.52,2.05
2016-07-17,7.21,5.92,89.28,5.63
2016-07-18,15.7,0.42,79.18,15.15
2016-07-19,21.06,0,75.84,21.42
2016-07-20,19.77,0,70.62,16.9
2016-07-21,16.13,0,72.18,14.73
2016-07-22,19.64,0,69.6,19.64
2016-07-23,12.96,1.78,76.2,11.82
2016-07-24,9.11,3.88,83.14,9.45
2016-07-25,12.59,0.1,81.56,13.34
2016-07-26,14.42,0,78.98,14.28
2016-07-27,6.57,3.38,83.58,5.13
2016-07-28,18.9,3.6,76.42,17.54
2016-07-29,6.15,23.48,88.76,4.44
2016-07-30,14.72,5.48,82.18,15.01
2016-07-31,17.33,3.44,80.6,18.29
2016-08-01,13.85,0.1,80.44,14.28
2016-08-02,10.94,4.32,80.9,8.39
2016-08-03,20,0,72.54,18.16
2016-08-04,19.81,0,73.94,14.74
2016-08-05,20.25,0,71.52,18.03
2016-08-06,18.92,0,73.04,18.84
2016-08-07,20.03,0,68.5,20.15
2016-08-08,19.05,0,71.2,16.39
2016-08-09,17.47,0,71.52,16.54
2016-08-10,18.25,0,71.24,18.57
2016-08-11,19.85,0,71.28,18.79
2016-08-12,18.7,0,74.18,17.49
2016-08-13,18.38,0,73.44,19.04
2016-08-14,11.47,1.64,83.16,13.27
2016-08-15,16.7,0,73.12,16.87
2016-08-16,18.41,0,70.52,17.07
2016-08-17,18.09,0.06,70.14,15.93
2016-08-18,14.42,0,71.58,13.32
2016-08-19,12.48,0.04,74.18,13.66
2016-08-20,16.02,0,66.98,13.77
2016-08-21,17.21,0.16,66.16,16.91
2016-08-22,17.53,0,67.88,14.55
2016-08-23,14.72,3.38,69.62,14.24
2016-08-24,15.64,1.46,66.7,14.6
2016-08-25,14.1,4.4,73.96,15.03
2016-08-26,13.93,16.4,67.8,11.75
2016-08-27,21.48,0,54.32,19.51
2016-08-28,9.87,6.4,70.06,6.94
2016-08-29,17.24,0.02,66.96,16.14
2016-08-30,11.24,0.02,70.4,9.33
2016-08-31,3.99,24.94,84.74,3.55
2016-09-01,15.41,1.24,75.44,13.9
2016-09-02,16.76,7.46,75.54,16.19
2016-09-03,13.05,0.44,79.96,11.82
2016-09-04,11.96,0,78.68,10.91
2016-09-05,15.65,0,74.32,13.71
2016-09-06,13.6,0,78.86,11.93
2016-09-07,12.55,0,77.28,9.68
2016-09-08,12.28,7.32,78.38,4.04
2016-09-09,15.35,0,77.24,10.93
2016-09-10,14.28,0,75.88,10.09
2016-09-11,12.98,0,73.2,12
2016-09-12,14.29,0,72.16,10.61
2016-09-13,17.94,0,70.82,13.64
2016-09-14,14.62,0,73.46,11.95
2016-09-15,15.15,0,75.94,13.22
2016-09-16,12.31,0,75.84,10.34
2016-09-17,11.2,15.62,77.26,8.68
2016-09-18,14.92,0,62.2,14.13
2016-09-19,17.07,0,62.42,14.38
2016-09-20,21.84,0,49.2,17.18
2016-09-21,16.73,0,60.44,13.14
2016-09-22,16.95,0,62.38,14.18
2016-09-23,17.57,0,69.48,15.31
2016-09-24,17.17,0,71.68,14.87
2016-09-25,13.45,0,70.9,9.67
2016-09-26,9.89,0,73.94,7.9
